Stops,Website,Booked_on,Destination,Depart_date,Airline,Price
3,Aviakassa,2/4/22,PQC,11/16/22,TK,Expensive
3,MEGO.travel,2/4/22,IXZ,8/16/22,EY,Expensive
3,Aviakassa,2/8/22,NHA,9/17/22,TK,Expensive
3,Aviakassa,2/6/22,NHA,10/2/22,TK,Expensive
3,Aviakassa,2/8/22,NHA,4/18/22,S7,Expensive
3,KupiBilet.ru,2/8/22,YVR,4/18/22,WS,Expensive
3,Trip.com,2/7/22,ACC,6/1/22,AT,Expensive
3,KupiBilet.ru,2/3/22,YTO,8/25/22,WS,Expensive
3,KupiBilet.ru,2/8/22,LIM,10/1/22,AM,Expensive
3,OneTwoTrip,2/6/22,RAI,6/26/22,TP,Expensive
3,Aviakassa,2/9/22,NHA,5/19/22,EY,Expensive
3,KupiBilet.ru,2/3/22,VNS,6/2/22,TK,Expensive
3,OneTwoTrip,2/6/22,YEA,6/21/22,WS,Expensive
3,KupiBilet.ru,2/9/22,YTO,7/10/22,WS,Expensive
3,Aviakassa,2/7/22,NHA,8/16/22,TK,Expensive
3,KupiBilet.ru,2/8/22,SFO,5/9/22,LV,Expensive
3,Kissandfly,2/5/22,YXU,5/16/22,WS,Expensive
3,Aviakassa,2/7/22,NHA,6/30/22,EY,Expensive
3,Tickets.ru,2/4/22,ACC,7/21/22,MS,Expensive
3,Trip.com,2/4/22,DLA,6/15/22,AT,Expensive
3,Aviakassa,2/3/22,PHL,6/5/22,TK,Expensive
3,Aviakassa,2/4/22,NHA,12/1/22,SQ,Expensive
3,KupiBilet.ru,2/7/22,YVR,8/25/22,WS,Expensive
3,OneTwoTrip,2/7/22,YVR,10/5/22,WS,Expensive
3,KupiBilet.ru,2/9/22,SJO,11/14/22,TK,Expensive
3,Aviakassa,2/3/22,PQC,8/3/22,TK,Expensive
3,Aviakassa,2/9/22,SYD,6/6/22,JQ,Expensive
3,Aviakassa,2/8/22,KRT,11/26/22,AY,Expensive
3,KupiBilet.ru,2/3/22,MBJ,9/5/22,SU,Expensive
3,Aviakassa,2/8/22,CEB,8/22/22,EY,Expensive
3,KupiBilet.ru,2/3/22,SFO,8/29/22,LV,Expensive
3,Tickets.ru,2/3/22,GYE,9/15/22,AV,Expensive
3,OneTwoTrip,2/8/22,JKT,10/15/22,SV,Expensive
3,MEGO.travel,2/5/22,PUJ,11/14/22,TK,Expensive
3,Aviakassa,2/7/22,NHA,7/16/22,SQ,Expensive
3,MEGO.travel,2/9/22,YMQ,7/16/22,WS,Expensive
3,Aviakassa,2/8/22,MEL,8/5/22,JQ,Expensive
3,KupiBilet.ru,2/8/22,JKT,7/16/22,SV,Expensive
3,KupiBilet.ru,2/8/22,JKT,8/2/22,SV,Expensive
3,OneTwoTrip,2/8/22,LIM,6/1/22,AM,Expensive
3,Tickets.ru,2/2/22,MFM,7/1/22,S7,Expensive
3,MEGO.travel,2/9/22,UIO,11/30/22,TK,Expensive
3,Tickets.ru,2/2/22,PKR,9/28/22,5W,Expensive
3,Tickets.ru,2/2/22,CTG,12/1/22,TK,Expensive
3,KupiBilet.ru,2/8/22,PUJ,8/31/22,TK,Expensive
3,Kissandfly,2/4/22,PNS,6/22/22,EK,Expensive
3,KupiBilet.ru,2/2/22,MBA,6/23/22,EY,Expensive
3,MEGO.travel,2/2/22,MEX,11/1/22,TK,Expensive
3,OneTwoTrip,2/9/22,YOW,7/20/22,WS,Expensive
3,OneTwoTrip,2/6/22,YEA,7/13/22,WS,Expensive
3,KupiBilet.ru,2/7/22,RIO,8/17/22,AF,Expensive
3,KupiBilet.ru,2/9/22,LIM,11/1/22,TK,Expensive
3,KupiBilet.ru,2/5/22,KIN,12/1/22,TK,Expensive
3,KupiBilet.ru,2/7/22,CUN,7/28/22,TK,Expensive
3,KupiBilet.ru,2/7/22,LAS,7/2/22,TK,Expensive
3,MEGO.travel,2/7/22,UIO,12/1/22,TK,Expensive
3,Aviakassa,2/8/22,SYD,7/2/22,JQ,Expensive
3,OneTwoTrip,2/8/22,YYG,8/10/22,WS,Expensive
3,OneTwoTrip,2/7/22,PWQ,7/18/22,KC,Expensive
3,Aviakassa,2/9/22,SYD,10/17/22,JQ,Expensive
3,KupiBilet.ru,2/7/22,CUN,8/3/22,TK,Expensive
3,Kissandfly,2/5/22,DAD,8/1/22,TK,Expensive
3,KupiBilet.ru,2/6/22,LIM,12/3/22,TK,Expensive
3,Aviakassa,2/5/22,SYD,9/12/22,TK,Expensive
3,KupiBilet.ru,2/6/22,MEX,7/23/22,TK,Expensive
3,KupiBilet.ru,2/8/22,SCL,9/5/22,KL,Expensive
3,KupiBilet.ru,2/8/22,SCL,10/11/22,AV,Expensive
3,Aviakassa,2/7/22,SYD,11/6/22,JQ,Expensive
3,KupiBilet.ru,2/9/22,YVR,12/14/22,UA,Expensive
3,OneTwoTrip,2/3/22,PWQ,8/1/22,KC,Expensive
3,Aviakassa,2/8/22,SYD,8/14/22,TR,Expensive
3,Tickets.ru,2/2/22,TRC,12/1/22,TK,Expensive
3,Tickets.ru,2/3/22,SDQ,8/15/22,2W,Expensive
3,KupiBilet.ru,2/8/22,BUE,8/13/22,LV,Expensive
3,Aviakassa,2/8/22,MEL,12/24/22,SQ,Expensive
3,Aviakassa,2/4/22,SAN,8/1/22,TK,Expensive
3,KupiBilet.ru,2/6/22,BUE,9/1/22,LV,Expensive
3,Aviakassa,2/5/22,MFM,8/29/22,EY,Expensive
3,Tickets.ru,2/4/22,CUZ,11/4/22,UX,Expensive
3,Aviakassa,2/8/22,SYD,12/17/22,JQ,Expensive
3,OneTwoTrip,2/6/22,NDJ,7/15/22,MS,Expensive
3,Tickets.ru,2/3/22,FOR,8/17/22,TP,Expensive
3,Kissandfly,2/5/22,TPP,9/6/22,SU,Expensive
3,KupiBilet.ru,2/7/22,SCL,11/13/22,TK,Expensive
3,KupiBilet.ru,2/6/22,PPS,11/17/22,EY,Expensive
3,Aviakassa,2/6/22,CCS,12/12/22,UX,Expensive
3,Trip.com,2/2/22,BZV,8/18/22,AT,Expensive
3,Aviakassa,2/4/22,CCS,8/1/22,IB,Expensive
3,Aviakassa,2/8/22,CCS,9/16/22,UX,Expensive
3,KupiBilet.ru,2/3/22,GYE,12/28/22,AV,Expensive
3,Tickets.ru,2/4/22,PQC,12/28/22,QR,Expensive
3,Aviakassa,2/5/22,CCS,10/1/22,IB,Expensive
3,KupiBilet.ru,2/7/22,BNE,9/3/22,TR,Expensive
3,KupiBilet.ru,2/8/22,BNE,8/15/22,EY,Expensive
3,Tickets.ru,2/4/22,LPB,8/23/22,UX,Expensive
3,Tickets.ru,2/4/22,AUA,12/23/22,TK,Expensive
3,KupiBilet.ru,2/4/22,SHA,10/1/22,TK,Expensive
3,KupiBilet.ru,2/8/22,SHA,9/1/22,TK,Expensive
3,Kissandfly,2/8/22,HNL,11/10/22,TK,Expensive
3,KupiBilet.ru,2/6/22,SHA,12/15/22,EY,Expensive
3,Tickets.ru,2/2/22,ASU,12/1/22,TK,Expensive
3,KupiBilet.ru,2/8/22,TIJ,8/31/22,AV,Expensive
3,KupiBilet.ru,2/6/22,LPB,12/1/22,LH,Expensive
3,Tickets.ru,2/2/22,CAY,10/5/22,AF,Expensive
3,KupiBilet.ru,2/7/22,AKL,9/4/22,FJ,Expensive
3,Tickets.ru,2/3/22,CZM,12/29/22,LO,Expensive
3,SuperSaver,2/6/22,CJC,9/23/22,QR,Expensive
3,KupiBilet.ru,2/6/22,SZX,11/1/22,BR,Expensive
3,Kissandfly,2/4/22,PPT,12/1/22,TK,Expensive
3,KupiBilet.ru,2/2/22,USH,10/29/22,UA,Expensive
3,MEGO.travel,2/6/22,SZX,12/1/22,EY,Expensive
3,KupiBilet.ru,2/7/22,USH,12/28/22,TP,Expensive
3,KupiBilet.ru,2/6/22,WLG,11/16/22,TK,Expensive
3,OneTwoTrip,2/7/22,BOB,9/30/22,BF,Expensive
3,Trip.com,2/9/22,IPC,9/2/22,LA,Expensive
3,Tickets.ru,2/4/22,SIA,9/1/22,5J,Expensive
3,City.Travel,2/8/22,TNN,12/17/22,BR,Expensive
2,Tickets.ru,2/4/22,ESL,7/18/22,A4,Cheap
2,Kissandfly,2/4/22,PMI,10/20/22,W9,Cheap
2,Kiwi.com,2/9/22,MIL,3/29/22,W6,Cheap
2,Kiwi.com,2/9/22,BUD,3/29/22,W6,Cheap
2,Kiwi.com,2/9/22,MIL,4/3/22,W6,Cheap
2,Kiwi.com,2/8/22,RIX,10/2/22,N4,Cheap
2,Kiwi.com,2/8/22,EDI,10/13/22,W9,Cheap
2,Kiwi.com,2/8/22,TKU,2/9/22,DP,Cheap
2,KupiBilet.ru,2/9/22,TBS,2/22/22,PC,Cheap
2,Kiwi.com,2/8/22,SUF,2/28/22,A3,Cheap
2,Kiwi.com,2/9/22,BLQ,4/5/22,W6,Cheap
2,Kiwi.com,2/9/22,PAR,4/12/22,W6,Cheap
2,Kiwi.com,2/9/22,BCN,2/28/22,A3,Cheap
2,Kiwi.com,2/8/22,NAP,4/7/22,S7,Cheap
2,Kiwi.com,2/6/22,PMO,4/7/22,S7,Cheap
2,Kiwi.com,2/8/22,KRK,3/11/22,S7,Cheap
2,KupiBilet.ru,2/8/22,HRK,3/31/22,S7,Cheap
2,KupiBilet.ru,2/9/22,CTA,2/21/22,A3,Cheap
2,KupiBilet.ru,2/9/22,SOF,2/21/22,A3,Cheap
2,Kiwi.com,2/8/22,PMO,3/11/22,S7,Cheap
2,Trip.com,2/9/22,NAP,2/28/22,A3,Cheap
2,KupiBilet.ru,2/8/22,BRI,2/28/22,A3,Cheap
2,KupiBilet.ru,2/4/22,TSR,2/21/22,A3,Cheap
2,KupiBilet.ru,2/8/22,WRO,3/18/22,S7,Cheap
2,KupiBilet.ru,2/7/22,AHO,2/21/22,A3,Cheap
2,KupiBilet.ru,2/8/22,BUH,2/28/22,A3,Cheap
2,Kiwi.com,2/9/22,AMM,2/21/22,FR,Cheap
2,Kiwi.com,2/8/22,POZ,3/11/22,S7,Cheap
2,Tickets.ru,2/4/22,MRS,4/5/22,W6,Cheap
2,Trip.com,2/6/22,CAG,3/14/22,A3,Cheap
2,Kiwi.com,2/9/22,TRN,3/20/22,S7,Cheap
2,Kiwi.com,2/9/22,LON,2/21/22,A3,Cheap
2,Kiwi.com,2/3/22,OLB,8/22/22,W6,Cheap
2,Kiwi.com,2/9/22,PAR,2/28/22,A3,Cheap
2,Trip.com,2/9/22,PMO,2/21/22,A3,Cheap
2,Kiwi.com,2/9/22,VRN,3/27/22,S7,Cheap
2,KupiBilet.ru,2/8/22,POZ,2/21/22,A3,Cheap
2,Trip.com,2/8/22,CAG,2/21/22,A3,Cheap
2,KupiBilet.ru,2/5/22,PSA,3/27/22,S7,Cheap
2,KupiBilet.ru,2/8/22,BTS,2/28/22,A3,Cheap
2,Kiwi.com,2/7/22,CAG,4/3/22,S7,Cheap
2,KupiBilet.ru,2/6/22,AES,2/9/22,DP,Cheap
2,Kiwi.com,2/8/22,OPO,3/11/22,S7,Cheap
2,Kiwi.com,2/7/22,KTW,3/18/22,S7,Cheap
2,Kiwi.com,2/2/22,OLB,9/17/22,W6,Cheap
2,Kiwi.com,2/8/22,AQJ,3/25/22,FR,Cheap
2,Kiwi.com,2/9/22,INI,2/21/22,A3,Cheap
2,KupiBilet.ru,2/8/22,KSC,3/13/22,S7,Cheap
2,KupiBilet.ru,2/8/22,LWO,2/28/22,A3,Cheap
2,KupiBilet.ru,2/8/22,MAN,2/21/22,A3,Cheap
2,KupiBilet.ru,2/8/22,AQJ,2/21/22,FR,Cheap
2,Kiwi.com,2/7/22,BTS,4/7/22,S7,Cheap
2,KupiBilet.ru,2/6/22,KTW,4/3/22,S7,Cheap
2,Kiwi.com,2/3/22,PMO,7/19/22,W6,Cheap
2,Kiwi.com,2/8/22,BTS,3/31/22,S7,Cheap
2,KupiBilet.ru,2/9/22,TGD,3/27/22,S7,Cheap
2,KupiBilet.ru,2/4/22,KTW,2/28/22,A3,Cheap
2,Kiwi.com,2/9/22,AGA,3/31/22,FR,Cheap
